Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
0,Female,0,Yes,Yes,72,No,Two year,Yes,Electronic check,60,4264
0,Male,0,No,No,1,Yes,Month-to-month,Yes,Electronic check,44.8,44.8
0,Female,0,Yes,Yes,9,Yes,One year,No,Mailed check,48.6,422.3
0,Male,0,No,No,69,No,Two year,Yes,Bank transfer (automatic),60.05,4176.7
0,Female,0,Yes,No,52,Yes,Month-to-month,Yes,Credit card (automatic),102.7,5138.1
0,Female,1,Yes,No,11,Yes,Month-to-month,Yes,Electronic check,82.9,880.05
1,Female,1,No,No,2,Yes,Month-to-month,Yes,Electronic check,70.35,139.05
0,Female,1,Yes,Yes,28,No,Month-to-month,Yes,Electronic check,35.9,973.65
0,Female,1,No,No,17,Yes,Month-to-month,Yes,Credit card (automatic),82.65,1470.05
0,Female,0,Yes,Yes,35,Yes,Two year,Yes,Mailed check,19.85,739.35
0,Female,0,No,No,8,Yes,One year,Yes,Mailed check,19.2,161.95
0,Male,0,No,No,46,Yes,One year,Yes,Credit card (automatic),94.9,4422.95
1,Female,0,No,No,7,Yes,Month-to-month,Yes,Electronic check,73.85,511.25
1,Female,0,No,No,2,Yes,Month-to-month,No,Mailed check,80.6,155.8
1,Male,0,Yes,Yes,68,Yes,One year,Yes,Bank transfer (automatic),75.8,5293.95
1,Female,0,No,No,43,Yes,Two year,Yes,Electronic check,104.6,4759.85
0,Female,0,No,No,68,Yes,Two year,Yes,Electronic check,88.15,6148.45
0,Female,0,No,No,36,Yes,Month-to-month,Yes,Credit card (automatic),94.8,3565.65
1,Male,0,Yes,No,63,Yes,Month-to-month,Yes,Electronic check,103.4,6603
0,Female,1,No,No,32,Yes,Month-to-month,No,Bank transfer (automatic),54.65,1830.1
0,Female,0,Yes,No,71,Yes,Two year,No,Credit card (automatic),85.75,6223.8
0,Female,0,Yes,Yes,66,Yes,Month-to-month,Yes,Bank transfer (automatic),67.45,4508.65
0,Male,0,No,No,63,Yes,One year,No,Mailed check,20.5,1328.15
0,Female,0,No,Yes,41,Yes,One year,Yes,Credit card (automatic),20.25,865
0,Female,1,No,No,1,Yes,Month-to-month,Yes,Electronic check,72.1,72.1
1,Female,0,No,No,2,Yes,Month-to-month,Yes,Electronic check,90.4,168.2
0,Female,0,Yes,No,70,Yes,Two year,No,Bank transfer (automatic),19.45,1303.5
0,Female,0,No,No,23,No,Month-to-month,Yes,Electronic check,44.95,996.85
0,Female,1,Yes,No,64,Yes,One year,No,Bank transfer (automatic),97,6430.9
0,Male,0,Yes,Yes,37,Yes,Two year,Yes,Credit card (automatic),62.8,2278.75
0,Male,0,No,Yes,17,Yes,One year,No,Mailed check,44.6,681.4
0,Female,1,No,No,7,Yes,Month-to-month,Yes,Electronic check,89.15,574.35
1,Male,0,Yes,Yes,4,Yes,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9
1,Female,1,No,No,21,No,Month-to-month,Yes,Electronic check,41.9,840.1
1,Female,0,No,No,10,Yes,Month-to-month,Yes,Bank transfer (automatic),80.25,846
0,Female,1,No,No,16,Yes,Month-to-month,Yes,Electronic check,54.1,889
0,Male,0,Yes,No,64,Yes,Two year,Yes,Electronic check,105.25,6823.4
1,Male,1,Yes,No,27,No,Month-to-month,No,Credit card (automatic),30.75,805.1
0,Male,0,Yes,Yes,42,Yes,One year,No,Electronic check,97.1,4016.75
0,Male,0,No,Yes,5,Yes,Month-to-month,No,Mailed check,20.2,83.75
0,Female,0,No,No,41,Yes,Two year,Yes,Bank transfer (automatic),98.8,3959.15
0,Male,0,Yes,No,58,Yes,One year,No,Credit card (automatic),50.3,2878.55
0,Female,0,No,No,47,Yes,Two year,Yes,Mailed check,20.55,945.7
0,Male,0,No,No,18,Yes,Month-to-month,Yes,Bank transfer (automatic),75.9,1373.05
1,Male,0,No,No,5,Yes,Month-to-month,No,Bank transfer (automatic),96.5,492.55
0,Male,0,Yes,No,23,Yes,Month-to-month,Yes,Bank transfer (automatic),59.95,1406
0,Female,0,No,No,1,Yes,Month-to-month,No,Mailed check,19.15,19.15
0,Male,0,Yes,No,71,Yes,One year,Yes,Credit card (automatic),98.65,6962.85
0,Male,0,Yes,Yes,72,Yes,Two year,Yes,Credit card (automatic),112.6,8126.65
0,Male,0,Yes,Yes,33,Yes,One year,No,Mailed check,20.6,690.25
1,Male,0,No,No,2,Yes,Month-to-month,Yes,Electronic check,85.65,181.5
0,Male,0,No,Yes,24,No,Two year,No,Mailed check,35.75,830.8
0,Female,0,Yes,Yes,56,Yes,One year,Yes,Credit card (automatic),99.75,5608.4
0,Male,0,No,No,37,Yes,Month-to-month,Yes,Credit card (automatic),96.1,3646.8
0,Female,0,No,No,43,Yes,One year,No,Credit card (automatic),85.1,3662.25
0,Male,0,No,No,1,No,Month-to-month,No,Mailed check,25.35,25.35
1,Female,0,Yes,No,25,Yes,Month-to-month,Yes,Bank transfer (automatic),104.95,2566.5
0,Female,0,No,No,61,Yes,Two year,No,Electronic check,89.65,5308.7
0,Male,0,No,No,17,Yes,One year,No,Electronic check,86.75,1410.25
0,Female,0,Yes,No,41,Yes,One year,Yes,Bank transfer (automatic),86.2,3339.05
1,Male,0,No,No,1,Yes,Month-to-month,No,Mailed check,50.65,50.65
0,Male,1,Yes,Yes,72,No,Two year,Yes,Bank transfer (automatic),64.8,4732.35
1,Male,0,No,No,1,Yes,Month-to-month,Yes,Credit card (automatic),90.85,90.85
0,Male,0,No,No,48,Yes,Two year,Yes,Bank transfer (automatic),108.1,5067.45
1,Male,1,Yes,No,11,Yes,Month-to-month,No,Mailed check,19.95,214.75
1,Female,1,Yes,No,55,Yes,Month-to-month,Yes,Electronic check,85.45,4874.7
0,Female,0,No,No,42,No,One year,Yes,Electronic check,54.75,2348.45
0,Male,0,No,No,44,Yes,Month-to-month,Yes,Mailed check,90.4,4063
0,Male,0,No,Yes,1,Yes,Month-to-month,No,Electronic check,44,44
0,Female,0,No,No,27,Yes,Month-to-month,Yes,Bank transfer (automatic),95.6,2595.25
0,Male,1,Yes,No,27,Yes,Month-to-month,Yes,Bank transfer (automatic),84.8,2309.55
0,Female,1,No,No,2,Yes,Month-to-month,Yes,Electronic check,44.3,89.3
0,Female,0,No,No,19,Yes,Month-to-month,No,Mailed check,19.9,367.55
0,Female,1,Yes,No,42,Yes,Month-to-month,Yes,Electronic check,95.05,3944.5
0,Female,0,No,No,66,Yes,Two year,Yes,Credit card (automatic),90.05,5965.95
0,Male,1,Yes,No,33,Yes,Month-to-month,Yes,Bank transfer (automatic),109.9,3694.7
1,Female,0,No,No,34,Yes,Month-to-month,Yes,Credit card (automatic),73.95,2524.45
0,Male,1,No,No,33,No,Month-to-month,Yes,Electronic check,54.6,1803.7
0,Female,0,Yes,Yes,23,Yes,One year,No,Mailed check,20.05,415.1
0,Female,0,No,No,32,Yes,One year,No,Bank transfer (automatic),19.75,624.15
0,Female,0,No,No,11,Yes,One year,No,Credit card (automatic),20.05,237.7
1,Male,0,Yes,Yes,69,Yes,Month-to-month,Yes,Credit card (automatic),99.45,7007.6
0,Female,0,Yes,No,68,Yes,One year,No,Bank transfer (automatic),55.9,3848.8
0,Male,0,No,No,20,Yes,Two year,Yes,Mailed check,19.7,419.4
0,Male,0,No,No,72,Yes,Two year,Yes,Credit card (automatic),19.8,1468.75
0,Male,0,Yes,Yes,60,Yes,One year,Yes,Bank transfer (automatic),95.4,5812
0,Male,1,Yes,Yes,32,Yes,Month-to-month,Yes,Mailed check,93.95,2861.45
1,Female,0,No,No,1,Yes,Month-to-month,Yes,Mailed check,19.9,19.9
1,Male,0,No,No,1,Yes,Month-to-month,Yes,Mailed check,19.6,19.6
1,Male,1,No,No,3,Yes,Month-to-month,Yes,Electronic check,81.35,233.7
0,Female,0,Yes,No,46,Yes,One year,Yes,Bank transfer (automatic),24.45,1066.15
0,Female,0,Yes,No,29,Yes,Month-to-month,Yes,Electronic check,74.95,2149.05
0,Male,0,No,No,51,Yes,Month-to-month,Yes,Electronic check,87.35,4473
0,Female,1,Yes,No,48,Yes,Month-to-month,Yes,Bank transfer (automatic),70.65,3545.05
0,Female,0,Yes,Yes,16,Yes,Month-to-month,No,Bank transfer (automatic),73.25,1195.75
0,Male,0,Yes,No,70,Yes,Two year,Yes,Bank transfer (automatic),98.7,6858.9
0,Female,0,Yes,Yes,40,Yes,Two year,Yes,Mailed check,24.8,1024.7
1,Female,0,Yes,Yes,22,Yes,Month-to-month,No,Electronic check,83.3,1845.9
1,Female,1,No,No,1,Yes,Month-to-month,Yes,Bank transfer (automatic),75.3,75.3
0,Female,0,Yes,Yes,5,Yes,Month-to-month,Yes,Mailed check,24.3,132.25
0,Female,0,No,No,7,Yes,Month-to-month,Yes,Bank transfer (automatic),69.85,515.45
0,Male,0,No,Yes,29,Yes,One year,No,Credit card (automatic),100.55,2830.45
0,Male,0,Yes,Yes,44,Yes,One year,No,Mailed check,25.7,1110.5
0,Female,0,No,No,10,No,Month-to-month,No,Bank transfer (automatic),40.7,449.3
0,Female,1,Yes,No,55,Yes,Month-to-month,No,Bank transfer (automatic),51.65,2838.55
0,Male,1,Yes,No,52,Yes,One year,Yes,Bank transfer (automatic),105.1,5376.4
0,Female,0,Yes,Yes,10,Yes,Month-to-month,No,Electronic check,85.95,858.6
0,Male,0,No,No,18,Yes,Month-to-month,Yes,Bank transfer (automatic),75.6,1395.05
0,Female,0,Yes,No,68,Yes,One year,No,Bank transfer (automatic),58.25,3975.7
1,Female,0,Yes,Yes,61,Yes,Month-to-month,Yes,Mailed check,19.4,1182.55
0,Female,0,Yes,Yes,72,No,Two year,Yes,Credit card (automatic),65.2,4784.45
0,Male,0,No,No,2,Yes,Month-to-month,No,Electronic check,53.45,119.5
1,Male,0,No,No,12,Yes,Month-to-month,Yes,Bank transfer (automatic),45.4,518.9
0,Male,0,Yes,No,41,Yes,Two year,Yes,Electronic check,19.75,899.45
0,Female,0,No,No,26,No,Month-to-month,Yes,Credit card (automatic),44.45,1183.8
0,Male,0,Yes,No,36,Yes,One year,No,Bank transfer (automatic),20.85,720.05
0,Male,0,Yes,Yes,72,Yes,Two year,Yes,Credit card (automatic),114.05,8468.2
0,Male,0,Yes,No,35,Yes,Month-to-month,Yes,Bank transfer (automatic),89.85,3161.2
0,Male,0,No,No,1,Yes,Month-to-month,No,Mailed check,55.05,55.05
0,Female,0,Yes,Yes,16,Yes,Month-to-month,Yes,Electronic check,112.95,1882.55
0,Female,1,No,No,49,Yes,Month-to-month,No,Credit card (automatic),101.55,5070.4
0,Female,0,Yes,No,54,Yes,One year,Yes,Mailed check,114.65,6049.5
0,Female,0,No,Yes,18,Yes,Month-to-month,No,Electronic check,64.8,1166.7
0,Female,0,Yes,No,36,Yes,Month-to-month,No,Electronic check,80.4,2937.65
1,Female,0,No,No,60,Yes,Month-to-month,Yes,Electronic check,105.9,6396.45
1,Female,0,No,No,1,Yes,Month-to-month,No,Mailed check,69.55,69.55
0,Female,0,Yes,Yes,52,Yes,Two year,Yes,Bank transfer (automatic),25.05,1270.25
0,Male,0,Yes,Yes,8,Yes,Month-to-month,Yes,Electronic check,94.75,759.55
0,Male,0,Yes,Yes,72,Yes,Two year,No,Bank transfer (automatic),105.5,7611.55
0,Female,0,No,No,64,Yes,One year,No,Mailed check,24.7,1642.75
0,Female,1,No,No,22,Yes,Month-to-month,Yes,Mailed check,69.75,1545.4
0,Male,0,Yes,No,60,No,Month-to-month,Yes,Bank transfer (automatic),60.2,3582.4
1,Female,0,Yes,Yes,28,Yes,Month-to-month,Yes,Electronic check,81.05,2227.1
0,Female,0,Yes,No,61,Yes,Two year,No,Mailed check,24.4,1417.9
0,Female,0,No,No,24,Yes,Month-to-month,Yes,Electronic check,104.15,2494.65
0,Male,0,Yes,Yes,28,Yes,One year,No,Bank transfer (automatic),92.9,2768.35
0,Female,0,Yes,Yes,30,Yes,Two year,No,Bank transfer (automatic),80.8,2369.3
0,Male,0,Yes,No,2,Yes,Month-to-month,No,Mailed check,20,38
0,Male,0,No,No,1,Yes,Month-to-month,Yes,Electronic check,75.1,75.1
0,Male,0,No,Yes,6,Yes,Month-to-month,No,Mailed check,19.65,100.9
0,Female,0,Yes,No,24,Yes,Month-to-month,Yes,Bank transfer (automatic),69.45,1614.05
1,Male,0,Yes,Yes,4,Yes,Month-to-month,No,Electronic check,101.15,385.9
1,Male,0,No,No,7,Yes,Month-to-month,Yes,Electronic check,99.8,673.25
0,Male,1,Yes,No,72,Yes,Two year,Yes,Bank transfer (automatic),116.05,8404.9
0,Male,0,No,No,70,No,Two year,Yes,Mailed check,40.05,2799.75
0,Male,1,Yes,No,64,Yes,Two year,No,Electronic check,102.1,6538.45
0,Male,0,Yes,Yes,72,Yes,One year,Yes,Electronic check,89.7,6588.95
0,Female,0,No,Yes,44,Yes,Two year,No,Mailed check,19.9,868.1
1,Female,0,Yes,Yes,13,Yes,Month-to-month,No,Electronic check,55.95,734.35
0,Female,1,No,No,17,Yes,One year,No,Mailed check,20.65,330.6
1,Male,0,No,No,1,Yes,Month-to-month,Yes,Electronic check,55,55
0,Male,0,Yes,No,9,Yes,Month-to-month,Yes,Mailed check,70.05,564.4
0,Male,0,Yes,No,24,Yes,Month-to-month,No,Mailed check,53.6,1315.35
1,Female,0,Yes,Yes,1,Yes,Month-to-month,Yes,Electronic check,74.7,74.7
1,Male,0,No,No,24,Yes,Month-to-month,Yes,Electronic check,80.25,1861.5
0,Male,1,Yes,Yes,35,Yes,Month-to-month,Yes,Electronic check,76.05,2747.2
0,Female,0,Yes,Yes,7,Yes,Month-to-month,Yes,Electronic check,75.7,554.05
1,Male,0,No,No,5,Yes,Month-to-month,Yes,Electronic check,96.1,453.4
1,Female,0,No,Yes,15,Yes,Month-to-month,No,Bank transfer (automatic),69,994.8
0,Male,0,Yes,Yes,11,Yes,Two year,No,Mailed check,19.65,225.75
1,Female,0,Yes,No,48,No,Month-to-month,Yes,Bank transfer (automatic),45.3,2145
0,Female,1,No,No,20,Yes,Month-to-month,Yes,Electronic check,81.45,1671.6
0,Female,0,Yes,No,72,Yes,One year,Yes,Bank transfer (automatic),108.5,8003.8
1,Female,0,Yes,Yes,8,Yes,Month-to-month,Yes,Electronic check,83.55,680.05
0,Male,0,Yes,Yes,72,Yes,Two year,Yes,Credit card (automatic),84.5,6130.85
0,Female,0,No,No,15,Yes,Month-to-month,Yes,Electronic check,100.15,1415
0,Male,0,No,No,72,Yes,Two year,Yes,Bank transfer (automatic),88.6,6201.95
0,Female,0,Yes,Yes,0,No,Two year,Yes,Bank transfer (automatic),52.55, 
1,Male,0,No,Yes,1,Yes,Month-to-month,Yes,Electronic check,74.35,74.35
0,Male,0,Yes,Yes,63,Yes,Two year,Yes,Bank transfer (automatic),104.8,6597.25
0,Female,0,No,No,2,Yes,Month-to-month,Yes,Electronic check,59,114.15
1,Female,0,Yes,No,2,Yes,Month-to-month,Yes,Electronic check,74.4,139.4
0,Male,1,Yes,No,61,Yes,One year,No,Bank transfer (automatic),64.05,3902.6
0,Male,0,No,No,1,Yes,Month-to-month,No,Mailed check,20.4,20.4
1,Male,0,No,No,22,No,One year,Yes,Bank transfer (automatic),43.75,903.6
0,Male,0,Yes,No,28,Yes,Month-to-month,No,Mailed check,60.9,1785.65
0,Female,0,Yes,No,70,Yes,Two year,No,Bank transfer (automatic),19.8,1397.65
1,Female,1,No,No,5,No,Month-to-month,No,Electronic check,28.45,131.05
1,Female,0,No,No,12,Yes,Month-to-month,Yes,Bank transfer (automatic),99.7,1238.45
0,Male,0,No,No,34,Yes,One year,No,Credit card (automatic),116.25,3899.05
0,Female,1,Yes,No,71,Yes,Two year,Yes,Credit card (automatic),80.7,5676
0,Female,0,Yes,Yes,70,Yes,One year,No,Bank transfer (automatic),65.2,4543.15
0,Female,0,Yes,Yes,52,Yes,Month-to-month,Yes,Bank transfer (automatic),84.05,4326.8
0,Male,0,No,Yes,69,Yes,Two year,Yes,Credit card (automatic),79.45,5502.55
1,Female,1,No,No,20,Yes,Month-to-month,Yes,Electronic check,94.1,1782.4
0,Male,0,No,Yes,11,Yes,Month-to-month,Yes,Mailed check,78,851.8
1,Male,0,Yes,No,2,Yes,Month-to-month,Yes,Electronic check,94.2,167.5
1,Female,0,Yes,Yes,6,Yes,Month-to-month,Yes,Electronic check,80.5,502.85
0,Female,0,No,No,1,Yes,Month-to-month,No,Mailed check,19.85,19.85
0,Male,1,Yes,Yes,20,Yes,One year,No,Credit card (automatic),94.3,1818.3
0,Male,0,No,No,61,Yes,Month-to-month,Yes,Electronic check,106.45,6300.15
1,Female,1,Yes,No,5,Yes,Month-to-month,Yes,Electronic check,74.35,334.8
0,Female,0,No,No,56,Yes,Month-to-month,Yes,Bank transfer (automatic),105.45,5916.95
0,Male,0,No,No,30,Yes,Month-to-month,Yes,Credit card (automatic),95,2852.4
1,Male,0,No,No,40,Yes,Month-to-month,No,Bank transfer (automatic),104.8,4131.95
0,Female,0,No,No,28,Yes,One year,No,Mailed check,54.3,1546.3
0,Female,1,Yes,No,5,Yes,Month-to-month,No,Electronic check,70.05,302.6
1,Female,1,Yes,No,27,Yes,Month-to-month,Yes,Bank transfer (automatic),75.2,1929.35
0,Male,0,No,No,12,Yes,Month-to-month,No,Credit card (automatic),20.05,265.45
0,Male,0,Yes,Yes,67,Yes,One year,Yes,Electronic check,105.4,6989.45
0,Male,1,Yes,No,29,Yes,Month-to-month,Yes,Electronic check,51.6,1442
0,Male,0,Yes,Yes,55,Yes,Month-to-month,No,Bank transfer (automatic),85.5,4713.4
1,Female,0,No,No,23,Yes,Month-to-month,No,Bank transfer (automatic),75.6,1758.6
1,Male,0,Yes,No,34,Yes,Month-to-month,Yes,Electronic check,100.05,3480
0,Male,0,No,No,52,Yes,One year,No,Electronic check,91.25,4738.3
0,Male,1,Yes,Yes,72,Yes,Two year,Yes,Credit card (automatic),115.75,8399.15
0,Male,0,Yes,Yes,58,Yes,One year,Yes,Credit card (automatic),94.7,5430.35
0,Male,0,Yes,Yes,35,Yes,Two year,No,Mailed check,19.6,686.95
0,Female,1,No,No,56,Yes,Two year,Yes,Bank transfer (automatic),99.9,5706.3
0,Female,0,Yes,Yes,24,Yes,Two year,Yes,Credit card (automatic),21.1,490.65
0,Male,0,Yes,Yes,70,Yes,Two year,No,Credit card (automatic),20.05,1360.25
0,Male,0,No,No,2,Yes,Month-to-month,Yes,Electronic check,79.95,174.45
0,Male,1,Yes,Yes,68,Yes,One year,Yes,Credit card (automatic),107.15,7379.8
1,Female,0,No,No,1,Yes,Month-to-month,Yes,Electronic check,85,85
0,Male,0,No,No,12,Yes,Month-to-month,Yes,Electronic check,89.55,1021.75
0,Female,0,Yes,No,63,Yes,Month-to-month,Yes,Bank transfer (automatic),81.55,5029.05
0,Female,0,Yes,Yes,33,Yes,One year,Yes,Mailed check,58.45,1955.4
0,Female,0,Yes,No,69,Yes,One year,Yes,Credit card (automatic),95.65,6744.2
0,Female,0,Yes,Yes,60,Yes,Two year,Yes,Bank transfer (automatic),80.6,4946.7
0,Female,0,Yes,Yes,72,Yes,Two year,Yes,Bank transfer (automatic),113.1,8248.5
0,Female,0,No,No,11,Yes,Month-to-month,Yes,Mailed check,58.95,601.6
0,Female,0,No,No,1,Yes,Month-to-month,No,Mailed check,19.55,19.55
1,Male,0,No,No,10,Yes,Month-to-month,Yes,Bank transfer (automatic),86.05,834.1
1,Male,0,No,No,13,No,Month-to-month,Yes,Credit card (automatic),45.55,597
0,Male,0,Yes,Yes,34,Yes,One year,Yes,Bank transfer (automatic),78.95,2647.2
1,Male,0,Yes,Yes,39,Yes,Month-to-month,Yes,Mailed check,86.3,3266
0,Female,0,No,No,65,Yes,One year,Yes,Bank transfer (automatic),105.05,6744.25
0,Male,1,Yes,No,50,Yes,One year,Yes,Bank transfer (automatic),101.9,5265.5
0,Male,0,No,No,15,Yes,Month-to-month,No,Mailed check,19.75,311.6
0,Male,0,Yes,Yes,72,Yes,Two year,Yes,Bank transfer (automatic),110.3,7966.9
0,Female,0,Yes,Yes,72,Yes,Two year,Yes,Bank transfer (automatic),115.6,8220.4
0,Male,0,Yes,Yes,55,Yes,Two year,No,Bank transfer (automatic),19.35,1153.25
0,Female,0,Yes,Yes,23,Yes,Two year,Yes,Credit card (automatic),25.6,514.75
1,Male,0,No,No,32,Yes,Month-to-month,Yes,Bank transfer (automatic),80.35,2596.15
0,Female,0,Yes,Yes,56,Yes,One year,Yes,Bank transfer (automatic),68.75,3808
0,Female,0,No,No,1,Yes,Month-to-month,No,Bank transfer (automatic),19.9,19.9
0,Male,0,No,No,38,Yes,One year,No,Mailed check,70.6,2708.2
0,Male,0,No,No,11,Yes,Month-to-month,No,Electronic check,70.2,760.05
0,Male,0,No,No,1,Yes,Month-to-month,Yes,Electronic check,49.3,49.3
0,Male,0,Yes,No,56,Yes,One year,Yes,Electronic check,107.25,6033.3
0,Male,0,Yes,No,3,Yes,Month-to-month,Yes,Mailed check,23.6,89.05
0,Male,0,Yes,Yes,7,Yes,Month-to-month,No,Credit card (automatic),69.7,516.15
0,Male,0,Yes,Yes,59,Yes,Two year,Yes,Credit card (automatic),99.5,5861.75
0,Male,0,No,No,7,Yes,Month-to-month,No,Bank transfer (automatic),64.3,445.95
0,Male,0,Yes,Yes,71,Yes,Two year,Yes,Credit card (automatic),70.85,4973.4
0,Male,0,Yes,Yes,15,Yes,One year,No,Electronic check,101.9,1667.25
0,Male,0,Yes,No,71,Yes,Two year,No,Credit card (automatic),73.5,5357.75
1,Female,0,No,No,35,Yes,Month-to-month,Yes,Electronic check,100.25,3527.6
0,Female,0,No,No,11,No,One year,Yes,Credit card (automatic),40.4,422.6
0,Female,0,Yes,Yes,60,Yes,Two year,Yes,Credit card (automatic),19.25,1103.25
0,Male,1,No,No,47,Yes,Two year,No,Bank transfer (automatic),59.6,2754
0,Female,0,No,No,11,Yes,One year,No,Credit card (automatic),64.9,697.25
1,Male,0,Yes,No,56,Yes,One year,No,Credit card (automatic),100.3,5614.45
0,Female,1,Yes,No,28,Yes,Month-to-month,Yes,Electronic check,110.85,3204.4
0,Male,0,Yes,No,61,Yes,Two year,Yes,Mailed check,81.05,4747.65
0,Male,0,Yes,Yes,31,Yes,One year,No,Bank transfer (automatic),98.05,3082.1
0,Male,0,No,No,9,Yes,Month-to-month,Yes,Electronic check,70.5,597.9
0,Male,1,Yes,No,35,Yes,Month-to-month,Yes,Electronic check,94.55,3365.4
0,Male,0,No,No,2,Yes,Month-to-month,Yes,Mailed check,19.65,38.8
1,Female,0,Yes,Yes,12,Yes,Month-to-month,No,Mailed check,19,233.55
1,Female,0,No,No,1,Yes,Month-to-month,No,Mailed check,75.3,75.3
1,Female,1,No,No,4,Yes,Month-to-month,Yes,Electronic check,89.2,346.2
0,Female,0,Yes,Yes,1,Yes,Month-to-month,Yes,Mailed check,19,19
0,Female,0,No,No,3,Yes,Month-to-month,Yes,Mailed check,20,61.7
1,Female,1,No,No,1,Yes,Month-to-month,Yes,Electronic check,85.7,85.7
0,Male,0,No,No,52,Yes,Two year,Yes,Credit card (automatic),63.25,3342.45
0,Male,0,Yes,Yes,5,Yes,One year,No,Mailed check,20.1,85.1
0,Male,0,Yes,No,72,Yes,Two year,Yes,Electronic check,99.15,7422.1
0,Male,0,Yes,Yes,71,Yes,Two year,No,Electronic check,90.4,6668.05
0,Male,0,Yes,No,72,Yes,Two year,Yes,Credit card (automatic),111.9,8071.05
0,Male,0,Yes,Yes,46,Yes,One year,No,Electronic check,24.9,1174.8
0,Male,0,Yes,Yes,63,Yes,Two year,No,Credit card (automatic),83.5,5435
0,Male,0,No,No,30,Yes,Month-to-month,Yes,Credit card (automatic),84.3,2438.6
0,Male,0,No,No,1,Yes,Month-to-month,No,Mailed check,45.6,45.6
1,Female,0,No,No,12,Yes,Month-to-month,Yes,Mailed check,61.65,713.75
0,Male,0,No,No,16,No,Two year,No,Mailed check,54.85,916.15
0,Male,0,No,No,4,Yes,Month-to-month,No,Mailed check,65.55,237.2
0,Male,0,Yes,No,51,Yes,One year,Yes,Credit card (automatic),90.35,4614.55
0,Male,0,Yes,No,65,Yes,Two year,Yes,Credit card (automatic),20.4,1414.45
0,Male,0,No,No,16,Yes,Month-to-month,Yes,Credit card (automatic),74.55,1170.5
0,Male,0,No,No,2,Yes,One year,No,Mailed check,19.95,47.7
0,Female,0,Yes,Yes,66,Yes,One year,Yes,Bank transfer (automatic),74.25,4859.25
0,Male,0,No,No,46,Yes,Two year,No,Electronic check,108.65,4903.2
0,Female,0,No,No,32,Yes,One year,Yes,Bank transfer (automatic),109.55,3608
0,Male,0,Yes,No,72,Yes,Two year,No,Credit card (automatic),86.65,6094.25
0,Male,0,Yes,Yes,38,Yes,Two year,No,Credit card (automatic),81,3084.9
0,Male,0,No,Yes,51,Yes,One year,No,Credit card (automatic),47.85,2356.75
0,Male,0,Yes,Yes,72,Yes,Two year,No,Bank transfer (automatic),114.55,8306.05
1,Female,1,Yes,No,65,Yes,Month-to-month,No,Bank transfer (automatic),105.25,6786.4
1,Male,0,Yes,Yes,9,No,Month-to-month,Yes,Electronic check,29.95,248.95
1,Female,0,Yes,Yes,9,Yes,Month-to-month,No,Mailed check,65,663.05
0,Male,0,No,Yes,66,Yes,Two year,No,Mailed check,20.55,1357.1
0,Female,1,No,No,44,Yes,One year,Yes,Credit card (automatic),109.8,4860.35
0,Male,0,No,No,50,Yes,Two year,No,Bank transfer (automatic),69.5,3418.2
0,Female,0,No,No,15,Yes,Month-to-month,No,Mailed check,48.85,631.4
0,Male,0,No,No,8,No,Month-to-month,Yes,Credit card (automatic),25.25,186.3
0,Female,1,No,No,66,Yes,One year,Yes,Credit card (automatic),102.85,6976.75
0,Female,0,No,No,57,Yes,Month-to-month,Yes,Bank transfer (automatic),87.55,4884.85
0,Female,0,No,No,7,Yes,Month-to-month,Yes,Bank transfer (automatic),78.55,522.95
0,Male,1,Yes,Yes,10,No,Month-to-month,Yes,Bank transfer (automatic),34.55,362.6
0,Female,0,No,No,62,Yes,One year,Yes,Electronic check,92.05,5755.8
0,Male,0,Yes,Yes,40,Yes,One year,Yes,Electronic check,85.05,3355.65
0,Female,0,No,No,20,Yes,Two year,No,Mailed check,19.7,406.95
1,Female,0,No,No,7,Yes,Month-to-month,No,Bank transfer (automatic),20,137.6
0,Female,0,Yes,No,25,Yes,Month-to-month,Yes,Electronic check,95.15,2395.7
0,Male,0,Yes,No,23,Yes,Month-to-month,No,Electronic check,84.25,1968.1
0,Female,1,Yes,No,66,Yes,One year,No,Credit card (automatic),104.6,6819.45
0,Female,1,No,No,72,Yes,Two year,No,Electronic check,111.65,7943.45
1,Male,1,Yes,No,49,Yes,Month-to-month,No,Credit card (automatic),90.05,4547.25
1,Male,1,Yes,Yes,43,Yes,Month-to-month,Yes,Bank transfer (automatic),110.75,4687.9
0,Female,0,Yes,No,46,Yes,Month-to-month,No,Bank transfer (automatic),55,2473.95
0,Male,0,Yes,Yes,72,Yes,Two year,No,Credit card (automatic),89.85,6562.9
0,Male,0,No,No,10,Yes,One year,No,Mailed check,20.35,176.3
0,Female,0,No,No,40,No,One year,Yes,Bank transfer (automatic),54.55,2236.2
1,Female,0,Yes,Yes,65,Yes,Month-to-month,Yes,Electronic check,105.5,6985.65
0,Male,0,No,No,31,Yes,Two year,No,Bank transfer (automatic),99.45,3109.9
0,Female,0,Yes,No,68,Yes,Two year,No,Credit card (automatic),70.9,4911.35
1,Male,1,Yes,Yes,56,Yes,One year,Yes,Bank transfer (automatic),104.55,5794.65
1,Male,0,Yes,No,10,Yes,Month-to-month,Yes,Electronic check,85.25,855.3
